scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
alff,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_sex-age_fdr05.nii.gz,0.5994361415694385
alff,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_sex-age_unadjusted.nii.gz,0.6490322706520467
cbf-isla,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/cbf-isla_age_bonferroni.nii.gz,0.6388574550279003
cbf-isla,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/cbf-isla_age_fdr05.nii.gz,0.9338880867834706
cbf-isla,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/cbf-isla_age_unadjusted.nii.gz,0.9353123658641277
cbf-isla,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/cbf-isla_sex_bonferroni.nii.gz,0.0014340344168260039
cbf-isla,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/cbf-isla_sex_fdr05.nii.gz,0.04266008506653139
cbf-isla,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/cbf-isla_sex_unadjusted.nii.gz,0.18750731650212665
cbf-isla,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/cbf-isla_sex-age_bonferroni.nii.gz,0
cbf-isla,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/cbf-isla_sex-age_fdr05.nii.gz,0
cbf-isla,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/cbf-isla_sex-age_unadjusted.nii.gz,0.026719865766574317
idemo,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/idemo_age_bonferroni.nii.gz,0.03663128731416085
idemo,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/idemo_age_fdr05.nii.gz,0.3523529870839349
idemo,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/idemo_age_unadjusted.nii.gz,0.4452725640925586
idemo,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/idemo_sex_bonferroni.nii.gz,0.004243571233464705
idemo,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/idemo_sex_fdr05.nii.gz,0.1472080227884653
idemo,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/idemo_sex_unadjusted.nii.gz,0.30643461973699615
idemo,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/idemo_sex-age_bonferroni.nii.gz,0
idemo,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/idemo_sex-age_fdr05.nii.gz,1.7559605103991882e-4
idemo,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/idemo_sex-age_unadjusted.nii.gz,0.10806961407890116
